name_match,name_steam,developer_steam,publisher_steam,price_steam,initialprice_steam,discount_steam,ccu,positive,owners_midpoint,approval_rate_steam,average_2weeks,name_gog,developer_gog,publisher_gog,price_gog,initialprice_gog,discount_gog,approval_rate_gog,name_epic,developer_epic,publisher_epic,price_epic,initialprice_epic,discount_epic,approval_rate_epic
counterstrike,Counter-Strike,Valve,Valve,9.99,9.99,0.0,7323.0,243818.0,15000000.0,97.43,838.0,,,,,,,,,,,,,,
counterstrike condition zero,Counter-Strike: Condition Zero,Valve,Valve,20.69,20.69,0.0,83.0,13442.0,15000000.0,89.75,4.0,,,,,,,,,,,,,,
counterstrike global offensive,Counter-Strike: Global Offensive,Valve,Valve,0.0,0.0,0.0,1013936.0,7642084.0,150000000.0,86.69,724.0,,,,,,,,,,,,,,
counterstrike source,Counter-Strike: Source,Valve,Valve,9.99,9.99,0.0,6187.0,175426.0,15000000.0,96.26,54.0,,,,,,,,,,,,,,
crimson desert,,,,,,,,,,,,,,,,,,,Crimson Desert Standard Edition,Pearl Abyss,Pearl Abyss,349.99,349.99,0.0,
crosshair x,,,,,,,,,,,,,,,,,,,Crosshair X,CenterPoint Gaming,CenterPoint Gaming,13.49,13.49,0.0,
cyberpunk 2077,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,199.9,199.9,0.0,22265.0,713071.0,35000000.0,84.39,424.0,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,199.9,199.9,0.0,76.0,Cyberpunk 2077,CD PROJEKT RED,Unknown,199.9,199.9,0.0,
days gone,,,,,,,,,,,,,,,,,,,Days Gone,Sony Interactive Entertainment,PlayStation Publishing LLC,199.5,199.5,0.0,
dayz,DayZ,Bohemia Interactive,Bohemia Interactive,169.0,169.0,0.0,37066.0,330349.0,15000000.0,76.78,1900.0,,,,,,,,,,,,,,
dead by daylight,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,69.99,69.99,0.0,44886.0,630223.0,35000000.0,79.05,597.0,,,,,,,,Dead by Daylight,Behaviour Interactive,Behaviour Interactive,69.99,69.99,0.0,
dead island 2,,,,,,,,,,,,,,,,,,,Dead Island 2,Deep Silver Dambuster Studios,Deep Silver,249.0,249.0,0.0,
death stranding 2 on the beach,,,,,,,,,,,,,,,,,,,DEATH STRANDING 2: ON THE BEACH,"KOJIMA PRODUCTIONS, Nixxes Software",PlayStation Publishing LLC,399.9,399.9,0.0,
destiny 2,Destiny 2,Bungie,Bungie,0.0,0.0,0.0,24619.0,497891.0,35000000.0,79.58,724.0,,,,,,,,,,,,,,
deus ex,,,,,,,,,,,,Deus Ex™ GOTY Edition,Ion Storm Inc.,Eidos Interactive Corporation,28.99,28.99,0.0,96.0,,,,,,,
diablo hellfire,,,,,,,,,,,,Diablo + Hellfire,"Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.",48.89,48.89,0.0,92.0,,,,,,,
disco elysium the final cut,,,,,,,,,,,,Disco Elysium - The Final Cut,ZA/UM,ZA/UM,18.89,75.49,75.0,90.0,,,,,,,
disney dreamlight valley,,,,,,,,,,,,,,,,,,,Disney Dreamlight Valley,Gameloft,Gameloft,147.45,147.45,0.0,
divinity original sin,,,,,,,,,,,,Divinity: Original Sin - Enhanced Edition,Larian Studios,Larian Studios,72.99,72.99,0.0,86.0,,,,,,,
divinity original sin 2,,,,,,,,,,,,Divinity: Original Sin 2 - Definitive Edition,Larian Studios,Larian Studios,90.99,90.99,0.0,90.0,,,,,,,
dont starve together,Don't Starve Together,Klei Entertainment,Klei Entertainment,27.99,27.99,0.0,30542.0,475393.0,15000000.0,95.26,363.0,,,,,,,,,,,,,,
dragon age origins,,,,,,,,,,,,Dragon Age™: Origins - Ultimate Edition,BioWare,Electronic Arts,48.89,97.69,50.0,90.0,,,,,,,
dungeon keeper,,,,,,,,,,,,Dungeon Keeper Gold™,Bullfrog Productions,Electronic Arts,29.29,29.29,0.0,92.0,,,,,,,
dungeon keeper 2,,,,,,,,,,,,Dungeon Keeper™ 2,Bullfrog Productions,Electronic Arts,29.29,29.29,0.0,90.0,,,,,,,
dungeons dragons dragonshard,,,,,,,,,,,,Dungeons & Dragons: Dragonshard,Liquid Entertainment,Hasbro Inc.,19.99,19.99,0.0,70.0,,,,,,,
dying light,Dying Light,Techland,Techland,99.0,99.0,0.0,4953.0,435687.0,15000000.0,95.2,326.0,,,,,,,,,,,,,,
dying light 2 stay human reloaded,,,,,,,,,,,,,,,,,,,Dying Light 2 Stay Human - Reloaded Edition,Techland,Techland,249.0,249.0,0.0,
dying light essentials,,,,,,,,,,,,,,,,,,,Dying Light: Essentials Edition,Techland,Techland,99.0,99.0,0.0,
dying light the beast,,,,,,,,,,,,,,,,,,,Dying Light: The Beast,Techland,Techland,249.0,249.0,0.0,
ea sports fc 26,,,,,,,,,,,,,,,,,,,EA SPORTS FC™ 26 Standard Edition,EA CANADA,Electronic Arts,299.0,299.0,0.0,
ea sports fifa 23,EA SPORTS FIFA 23,EA Canada &amp; EA Romania,Electronic Arts,0.0,0.0,0.0,1280.0,86192.0,7500000.0,56.92,155.0,,,,,,,,,,,,,,
efootball,eFootball,KONAMI,KONAMI,0.0,0.0,0.0,13404.0,44067.0,15000000.0,47.73,883.0,,,,,,,,,,,,,,
elden ring,ELDEN RING,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",274.5,274.5,0.0,29529.0,981540.0,35000000.0,92.89,414.0,,,,,,,,,,,,,,
empire earth,,,,,,,,,,,,Empire Earth Gold Edition,Stainless Steel Studios,Rebellion,11.99,11.99,0.0,88.0,,,,,,,
empire earth 2,,,,,,,,,,,,Empire Earth 2 Gold Edition,Mad Doc Software,Rebellion,19.99,19.99,0.0,86.0,,,,,,,
euro truck simulator 2,Euro Truck Simulator 2,SCS Software,SCS Software,61.99,61.99,0.0,17281.0,844480.0,15000000.0,97.36,363.0,,,,,,,,,,,,,,
f1 25,,,,,,,,,,,,,,,,,,,F1® 25,Codemasters,Electronic Arts,249.0,249.0,0.0,
fall guys knockout,Fall Guys: Ultimate Knockout,Mediatonic,Ravenscourt,0.0,0.0,0.0,664.0,385154.0,35000000.0,81.3,50.0,,,,,,,,,,,,,,
fallout,,,,,,,,,,,,Fallout,Interplay,Bethesda Softworks LLC,10.0,19.99,50.0,90.0,,,,,,,
